carat,cut,color,clarity,depth,table,price,'x','y','z'
0.23,b'Ideal',b'E',b'SI2',61.5,55.0,326.0,3.95,3.98,2.43
0.21,b'Premium',b'E',b'SI1',59.8,61.0,326.0,3.89,3.84,2.31
0.23,b'Good',b'E',b'VS1',56.9,65.0,327.0,4.05,4.07,2.31
0.29,b'Premium',b'I',b'VS2',62.4,58.0,334.0,4.2,4.23,2.63
0.31,b'Good',b'J',b'SI2',63.3,58.0,335.0,4.34,4.35,2.75
0.24,b'Very Good',b'J',b'VVS2',62.8,57.0,336.0,3.94,3.96,2.48
0.24,b'Very Good',b'I',b'VVS1',62.3,57.0,336.0,3.95,3.98,2.47
0.26,b'Very Good',b'H',b'SI1',61.9,55.0,337.0,4.07,4.11,2.53
0.22,b'Fair',b'E',b'VS2',65.1,61.0,337.0,3.87,3.78,2.49
0.23,b'Very Good',b'H',b'VS1',59.4,61.0,338.0,4.0,4.05,2.39
0.3,b'Good',b'J',b'SI1',64.0,55.0,339.0,4.25,4.28,2.73
0.23,b'Ideal',b'J',b'VS1',62.8,56.0,340.0,3.93,3.9,2.46
0.22,b'Premium',b'F',b'SI1',60.4,61.0,342.0,3.88,3.84,2.33
0.31,b'Ideal',b'J',b'SI2',62.2,54.0,344.0,4.35,4.37,2.71
0.2,b'Premium',b'E',b'SI2',60.2,62.0,345.0,3.79,3.75,2.27
0.32,b'Premium',b'E',b'I1',60.9,58.0,345.0,4.38,4.42,2.68
0.3,b'Ideal',b'I',b'SI2',62.0,54.0,348.0,4.31,4.34,2.68
0.3,b'Good',b'J',b'SI1',63.4,54.0,351.0,4.23,4.29,2.7
0.3,b'Good',b'J',b'SI1',63.8,56.0,351.0,4.23,4.26,2.71
0.3,b'Very Good',b'J',b'SI1',62.7,59.0,351.0,4.21,4.27,2.66
0.3,b'Good',b'I',b'SI2',63.3,56.0,351.0,4.26,4.3,2.71
0.23,b'Very Good',b'E',b'VS2',63.8,55.0,352.0,3.85,3.92,2.48
0.23,b'Very Good',b'H',b'VS1',61.0,57.0,353.0,3.94,3.96,2.41
0.31,b'Very Good',b'J',b'SI1',59.4,62.0,353.0,4.39,4.43,2.62
